Country,Time,Balance,Product,Value,Unit,Month,Year
Colombia,2023-10-01,Net Electricity Production,Renovable,229.6463,GWh,10,2023
Colombia,2023-10-01,Net Electricity Production,Renovable,128.0474,GWh,10,2023
Colombia,2023-10-01,Net Electricity Production,Renovable,6.5504,GWh,10,2023
Colombia,2023-09-01,Net Electricity Production,Renovable,4217.9879,GWh,9,2023
Colombia,2023-09-01,Net Electricity Production,No Renovable,1048.2993,GWh,9,2023
Colombia,2023-09-01,Net Electricity Production,No Renovable,265.5629,GWh,9,2023
Colombia,2023-09-01,Net Electricity Production,No Renovable,1723.0792,GWh,9,2023
Colombia,2023-09-01,Net Electricity Production,Renovable,229.6585,GWh,9,2023
Colombia,2023-09-01,Net Electricity Production,Renovable,120.4759,GWh,9,2023
Colombia,2023-09-01,Net Electricity Production,Renovable,15.7748,GWh,9,2023
Colombia,2023-08-01,Net Electricity Production,Renovable,4872.3718,GWh,8,2023
Colombia,2023-08-01,Net Electricity Production,No Renovable,883.8706,GWh,8,2023
Colombia,2023-08-01,Net Electricity Production,No Renovable,270.4737,GWh,8,2023
Colombia,2023-08-01,Net Electricity Production,No Renovable,1089.5382,GWh,8,2023
Colombia,2023-08-01,Net Electricity Production,Renovable,229.661,GWh,8,2023
Colombia,2023-08-01,Net Electricity Production,Renovable,110.1372,GWh,8,2023
Colombia,2023-08-01,Net Electricity Production,Renovable,14.8918,GWh,8,2023
Colombia,2023-07-01,Net Electricity Production,Renovable,4598.5905,GWh,7,2023
Colombia,2023-07-01,Net Electricity Production,No Renovable,908.2154,GWh,7,2023
Colombia,2023-07-01,Net Electricity Production,No Renovable,258.5294,GWh,7,2023
Colombia,2023-07-01,Net Electricity Production,No Renovable,1026.0448,GWh,7,2023
Colombia,2023-07-01,Net Electricity Production,Renovable,229.6547,GWh,7,2023
Colombia,2023-07-01,Net Electricity Production,Renovable,97.6065,GWh,7,2023
Colombia,2023-07-01,Net Electricity Production,Renovable,22.2805,GWh,7,2023
Colombia,2023-06-01,Net Electricity Production,Renovable,4719.4757,GWh,6,2023
Colombia,2023-06-01,Net Electricity Production,No Renovable,639.6571,GWh,6,2023
Colombia,2023-06-01,Net Electricity Production,No Renovable,259.7839,GWh,6,2023
Colombia,2023-06-01,Net Electricity Production,No Renovable,996.8485,GWh,6,2023
Colombia,2023-06-01,Net Electricity Production,Renovable,229.6289,GWh,6,2023
Colombia,2023-06-01,Net Electricity Production,Renovable,81.818,GWh,6,2023
Colombia,2023-06-01,Net Electricity Production,Renovable,14.9477,GWh,6,2023
Colombia,2023-05-01,Net Electricity Production,Renovable,4822.5518,GWh,5,2023
Colombia,2023-05-01,Net Electricity Production,No Renovable,814.187,GWh,5,2023
Colombia,2023-05-01,Net Electricity Production,No Renovable,261.8032,GWh,5,2023
Colombia,2023-05-01,Net Electricity Production,No Renovable,1034.5646,GWh,5,2023
Colombia,2023-05-01,Net Electricity Production,Renovable,229.5873,GWh,5,2023
Colombia,2023-05-01,Net Electricity Production,Renovable,71.0354,GWh,5,2023
Colombia,2023-05-01,Net Electricity Production,Renovable,16.6686,GWh,5,2023
Colombia,2023-04-01,Net Electricity Production,Renovable,5186.2752,GWh,4,2023
Colombia,2023-04-01,Net Electricity Production,No Renovable,257.4142,GWh,4,2023
Colombia,2023-04-01,Net Electricity Production,No Renovable,261.9811,GWh,4,2023
Colombia,2023-04-01,Net Electricity Production,No Renovable,752.6144,GWh,4,2023
Colombia,2023-04-01,Net Electricity Production,Renovable,229.6256,GWh,4,2023
Colombia,2023-04-01,Net Electricity Production,Renovable,70.2518,GWh,4,2023
Colombia,2023-04-01,Net Electricity Production,Renovable,17.231,GWh,4,2023
Colombia,2023-03-01,Net Electricity Production,Renovable,5281.1886,GWh,3,2023
Colombia,2023-03-01,Net Electricity Production,No Renovable,335.0842,GWh,3,2023
Colombia,2023-03-01,Net Electricity Production,No Renovable,260.7683,GWh,3,2023
Colombia,2023-03-01,Net Electricity Production,No Renovable,863.2842,GWh,3,2023
Colombia,2023-03-01,Net Electricity Production,Renovable,229.6524,GWh,3,2023
Colombia,2023-03-01,Net Electricity Production,Renovable,67.3201,GWh,3,2023
Colombia,2023-03-01,Net Electricity Production,Renovable,20.8083,GWh,3,2023
Colombia,2023-02-01,Net Electricity Production,Renovable,4523.3454,GWh,2,2023
Colombia,2023-02-01,Net Electricity Production,No Renovable,681.5512,GWh,2,2023
Colombia,2023-02-01,Net Electricity Production,No Renovable,261.3236,GWh,2,2023
Colombia,2023-02-01,Net Electricity Production,No Renovable,915.9672,GWh,2,2023
Colombia,2023-02-01,Net Electricity Production,Renovable,229.6573,GWh,2,2023
Colombia,2023-02-01,Net Electricity Production,Renovable,67.1799,GWh,2,2023
Colombia,2023-02-01,Net Electricity Production,Renovable,18.9256,GWh,2,2023
Colombia,2023-01-01,Net Electricity Production,Renovable,5258.8446,GWh,1,2023
Colombia,2023-01-01,Net Electricity Production,No Renovable,454.2931,GWh,1,2023
Colombia,2023-01-01,Net Electricity Production,No Renovable,257.6907,GWh,1,2023
Colombia,2023-01-01,Net Electricity Production,No Renovable,849.2335,GWh,1,2023
Colombia,2023-01-01,Net Electricity Production,Renovable,229.6425,GWh,1,2023
Colombia,2023-01-01,Net Electricity Production,Renovable,65.2622,GWh,1,2023
Colombia,2023-01-01,Net Electricity Production,Renovable,18.2275,GWh,1,2023
Colombia,2022-12-01,Net Electricity Production,Renovable,5147.7353,GWh,12,2022
Colombia,2022-12-01,Net Electricity Production,No Renovable,662.3953,GWh,12,2022
Colombia,2022-12-01,Net Electricity Production,No Renovable,230.6511,GWh,12,2022
Colombia,2022-12-01,Net Electricity Production,No Renovable,926.1079,GWh,12,2022
Colombia,2022-12-01,Net Electricity Production,Renovable,189.3349,GWh,12,2022
Colombia,2022-12-01,Net Electricity Production,Renovable,74.2689,GWh,12,2022
Colombia,2022-12-01,Net Electricity Production,Renovable,5.0522,GWh,12,2022
Colombia,2022-11-01,Net Electricity Production,Renovable,5292.3537,GWh,11,2022
Colombia,2022-11-01,Net Electricity Production,No Renovable,199.2731,GWh,11,2022
Colombia,2022-11-01,Net Electricity Production,No Renovable,223.3874,GWh,11,2022
Colombia,2022-11-01,Net Electricity Production,No Renovable,951.3347,GWh,11,2022
Colombia,2022-11-01,Net Electricity Production,Renovable,189.3822,GWh,11,2022
Colombia,2022-11-01,Net Electricity Production,Renovable,53.7322,GWh,11,2022
Colombia,2022-11-01,Net Electricity Production,Renovable,2.8279,GWh,11,2022
Colombia,2022-10-01,Net Electricity Production,Renovable,5468.9071,GWh,10,2022
Colombia,2022-10-01,Net Electricity Production,No Renovable,255.9098,GWh,10,2022
