Proyecto,Tipo,Capacidad,Departamento,Municipio,Código Departamento,Código Municipio,Fecha estimada FPO,Energía [kWh/día],Usuarios,Inversión estimada [COP],Empleos estimados,Emisiones CO2 [Ton/año],Energía [kWh/año],Emisiones CO2 [Ton/días]
Electrohuila gd y ag (125 proyectos),Solar,2.35,Huila,Neiva,41,41001,2022-05-31,11280.0,1956,10105000000.0,16,3294.0,4117200.0,9.024657534246575
Gr parque solar tucanes,Solar,9.9,Bolívar,Cartagena de indias,13,13001,2022-05-31,47520.0,8240,42570000000.0,69,13876.0,17344800.0,38.016438356164386
La loma solar (enel green power),Solar,170.0,Cesar,El paso,20,20250,2021-12-31,816000.0,141503,731000000000.0,1183,238272.0,297840000.0,652.8
Delphi helios 1 fase 1,Solar,9.9,Meta,Villavicencio,50,50001,2022-02-23,47520.0,8240,42570000000.0,69,13876.0,17344800.0,38.016438356164386
Comando aéreo no.1 de palanquero,Solar,1.2,Caldas,La dorada,17,17380,2022-03-06,21.0,4,5160000000.0,8,6.0,7665.0,0.01643835616438356
Bosques solares de los llanos 4,Solar,19.9,Meta,Puerto gaitán,50,50568,2022-05-31,95520.0,16564,85570000000.0,139,27892.0,34864800.0,76.41643835616438
Bosques solares de los llanos 5,Solar,17.9,Meta,Puerto gaitán,50,50568,2022-05-31,85920.0,14899,76970000000.0,125,25089.0,31360800.0,68.73698630136987
Cabrestero,Solar,3.0,Casanare,Villanueva,85,85440,2022-04-15,14400.0,2497,12900000000.0,21,4205.0,5256000.0,11.520547945205479
La medina,Solar,9.9,Tolima,Armero,73,73055,2022-07-31,47520.0,8240,42570000000.0,69,13876.0,17344800.0,38.016438356164386
Los caballeros,Solar,9.9,Tolima,Armero,73,73055,2022-07-31,47520.0,8240,42570000000.0,69,13876.0,17344800.0,38.016438356164386
Cerritos,Solar,9.9,Tolima,San sebastián de mariquita,73,73443,2022-07-31,47520.0,8240,42570000000.0,69,13876.0,17344800.0,38.016438356164386
La tolua,Solar,19.9,Córdoba,Chinú,23,23182,2023-03-02,95520.0,16564,74625000000.0,139,27892.0,34864800.0,76.41643835616438
Tierra linda,Solar,9.9,Córdoba,Chinú,23,23182,2023-03-02,47520.0,8240,37125000000.0,69,13876.0,17344800.0,38.016438356164386
Csf san felipe (trina solar),Solar,90.0,Tolima,Armero,73,73055,2023-06-01,432000.0,74913,337500000000.0,626,126144.0,157680000.0,345.6
Alma solar i,Solar,9.8,Arauca,Arauca,81,81001,2023-09-30,47040.0,8157,9800000.0,68,13736.0,17169600.0,37.632876712328766
Sincé,Solar,19.9,Sucre,San luis de sincé,70,70742,2022-07-31,95520.0,16564,85570000000.0,139,27892.0,34864800.0,76.41643835616438
Planeta rica,Solar,19.9,Córdoba,Planeta rica,23,23555,2022-12-31,95520.0,16564,74625000000.0,139,27892.0,34864800.0,76.41643835616438
