Country,Balance,Time,Product,Value,Unit,Month,Year
Colombia,Net Electricity Production,2025-04-01,Natural Gas,886.1482,GWh,4,2025
Colombia,Net Electricity Production,2025-04-01,Combustible Renewables,229.6317,GWh,4,2025
Colombia,Net Electricity Production,2025-04-01,Solar,344.09,GWh,4,2025
Colombia,Net Electricity Production,2025-04-01,Not Specified,0,GWh,4,2025
Colombia,Net Electricity Production,2025-04-01,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",5849.736,GWh,4,2025
Colombia,Total Imports,2025-04-01,Electricity,2.5413,GWh,4,2025
Colombia,Total Exports,2025-04-01,Electricity,8.9584,GWh,4,2025
Colombia,Distribution Losses,2025-04-01,Electricity,526.4019,GWh,4,2025
Colombia,Final Consumption (Calculated),2025-04-01,Electricity,6650.5623,GWh,4,2025
Colombia,Net Electricity Production,2025-04-01,Wind,15.6485,GWh,4,2025
Colombia,Net Electricity Production,2025-03-01,Electricity,7398.3565,GWh,3,2025
Colombia,Net Electricity Production,2025-03-01,Hydro,5355.9222,GWh,3,2025
Colombia,Net Electricity Production,2025-03-01,Total Combustible Fuels,1643.8307,GWh,3,2025
Colombia,Net Electricity Production,2025-03-01,"Coal, Peat and Manufactured Gases",313.394,GWh,3,2025
Colombia,Net Electricity Production,2025-03-01,Oil and Petroleum Products,255.6823,GWh,3,2025
Colombia,Net Electricity Production,2025-03-01,Natural Gas,845.0972,GWh,3,2025
Colombia,Net Electricity Production,2025-03-01,Combustible Renewables,229.6571,GWh,3,2025
Colombia,Net Electricity Production,2025-03-01,Solar,383.3876,GWh,3,2025
Colombia,Net Electricity Production,2025-03-01,Not Specified,0,GWh,3,2025
Colombia,Net Electricity Production,2025-03-01,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",5984.1829,GWh,3,2025
Colombia,Total Imports,2025-03-01,Electricity,21.8047,GWh,3,2025
Colombia,Total Exports,2025-03-01,Electricity,3.6416,GWh,3,2025
Colombia,Distribution Losses,2025-03-01,Electricity,613.5794,GWh,3,2025
Colombia,Final Consumption (Calculated),2025-03-01,Electricity,6802.9402,GWh,3,2025
Colombia,Net Electricity Production,2025-03-01,Wind,15.216,GWh,3,2025
Colombia,Net Electricity Production,2025-02-01,Electricity,6934.4039,GWh,2,2025
Colombia,Net Electricity Production,2025-02-01,Hydro,4559.2153,GWh,2,2025
Colombia,Net Electricity Production,2025-02-01,Total Combustible Fuels,2024.3455,GWh,2,2025
Colombia,Net Electricity Production,2025-02-01,"Coal, Peat and Manufactured Gases",721.4169,GWh,2,2025
Colombia,Net Electricity Production,2025-02-01,Oil and Petroleum Products,272.1735,GWh,2,2025
Colombia,Net Electricity Production,2025-02-01,Natural Gas,801.0917,GWh,2,2025
Colombia,Net Electricity Production,2025-02-01,Combustible Renewables,229.6635,GWh,2,2025
Colombia,Net Electricity Production,2025-02-01,Solar,335.9127,GWh,2,2025
Colombia,Net Electricity Production,2025-02-01,Not Specified,0,GWh,2,2025
