Country,Balance,Time,Product,Value,Unit,Month,Year
Colombia,Net Electricity Production,2023-07-01,Wind,22.2805,GWh,7,2023
Colombia,Net Electricity Production,2023-06-01,Hydro,4719.4757,GWh,6,2023
Colombia,Net Electricity Production,2023-06-01,Combustible Renewables,229.6289,GWh,6,2023
Colombia,Net Electricity Production,2023-06-01,Solar,81.818,GWh,6,2023
Colombia,Net Electricity Production,2023-06-01,Wind,14.9477,GWh,6,2023
Colombia,Net Electricity Production,2023-05-01,Hydro,4822.5518,GWh,5,2023
Colombia,Net Electricity Production,2023-05-01,Combustible Renewables,229.5873,GWh,5,2023
Colombia,Net Electricity Production,2023-05-01,Solar,71.0354,GWh,5,2023
Colombia,Net Electricity Production,2023-05-01,Wind,16.6686,GWh,5,2023
Colombia,Net Electricity Production,2023-04-01,Hydro,5186.2752,GWh,4,2023
Colombia,Net Electricity Production,2023-04-01,Combustible Renewables,229.6256,GWh,4,2023
Colombia,Net Electricity Production,2023-04-01,Solar,70.2518,GWh,4,2023
Colombia,Net Electricity Production,2023-04-01,Wind,17.231,GWh,4,2023
Colombia,Net Electricity Production,2023-03-01,Hydro,5281.1886,GWh,3,2023
Colombia,Net Electricity Production,2023-03-01,Combustible Renewables,229.6524,GWh,3,2023
Colombia,Net Electricity Production,2023-03-01,Solar,67.3201,GWh,3,2023
Colombia,Net Electricity Production,2023-03-01,Wind,20.8083,GWh,3,2023
Colombia,Net Electricity Production,2023-02-01,Hydro,4523.3454,GWh,2,2023
Colombia,Net Electricity Production,2023-02-01,Combustible Renewables,229.6573,GWh,2,2023
Colombia,Net Electricity Production,2023-02-01,Solar,67.1799,GWh,2,2023
Colombia,Net Electricity Production,2023-02-01,Wind,18.9256,GWh,2,2023
Colombia,Net Electricity Production,2023-01-01,Hydro,5258.8446,GWh,1,2023
Colombia,Net Electricity Production,2023-01-01,Combustible Renewables,229.6425,GWh,1,2023
Colombia,Net Electricity Production,2023-01-01,Solar,65.2622,GWh,1,2023
Colombia,Net Electricity Production,2023-01-01,Wind,18.2275,GWh,1,2023
Colombia,Net Electricity Production,2022-12-01,Hydro,5147.7353,GWh,12,2022
Colombia,Net Electricity Production,2022-12-01,Combustible Renewables,189.3349,GWh,12,2022
Colombia,Net Electricity Production,2022-12-01,Solar,74.2689,GWh,12,2022
Colombia,Net Electricity Production,2022-12-01,Wind,5.0522,GWh,12,2022
Colombia,Net Electricity Production,2022-11-01,Hydro,5292.3537,GWh,11,2022
Colombia,Net Electricity Production,2022-11-01,Combustible Renewables,189.3822,GWh,11,2022
Colombia,Net Electricity Production,2022-11-01,Solar,53.7322,GWh,11,2022
Colombia,Net Electricity Production,2022-11-01,Wind,2.8279,GWh,11,2022
Colombia,Net Electricity Production,2022-10-01,Hydro,5468.9071,GWh,10,2022
Colombia,Net Electricity Production,2022-10-01,Combustible Renewables,189.386,GWh,10,2022
Colombia,Net Electricity Production,2022-10-01,Solar,58.8239,GWh,10,2022
Colombia,Net Electricity Production,2022-10-01,Wind,2.3254,GWh,10,2022
